Comments,Reviewer Name
"Only the top 15% seem to get packages in the lakhs. The rest are offered less, but have wider availability of options considering the PSUs. 
Personally I wish to join a petrochemical or steel based company and put my degree to practical use.|There are a lot of internship opportunities, a wide variety that range from business to entrepreneurship, marketing to management, software development to web design. Students are advised to pursue internships based on juggling their core branch and personal interests.",Vanya
"Leaving behind many IIMs and other leading B school, the DMS at IIT Delhi has recorded 100% placement for its MBA 2016-2018 batch. The average salary is 16.54and the highest salary is 26 LPA. Some of the top recruiters include - Deloitte, Amazon, Google etc.",Debraj
"The placement is awesome. If you have skills you'll get hired with a package above 15lpa. In my branch seniors say, if you take the trouble to learn something, anything, you can expect an average package of 18lpa in the product-based company or 15lpa is a service-based. The highest package you all know goes in crores. If your skills are good definitely you can achieve more. Many students go for higher studies too in IIT itself or in foreign universities. If you wonder now why so, the answer is because the highest qualification in India is ""US return"". Alumni connections help a lot. Many students go for UPSC preparation too.|Most internships start from the third year. Many students get internships from top companies with excellent stipends. Many students do projects in university with professors which are paid too. Some also manage internships with foreign professors. However, you have to put in the effort to find opportunities yourself.",Pranjal Bhardwaj
"Most of good companies come at our campus. I would say more than 70% get placed. Highest salary package goes from Computer science department. AVG salary is 12lacs. Yes generally college is pretty supportive with placements.|Company Name - Google, Profile - Software Developer, Stipend - 16,000/Month, Duration - 2 Months",Abhinav Shukla
"Job opportunities are really good. Infact, IIT DELHI has been ranked number 1 in employability in India.
A lot of big companies like google, Facebook all visit our campus.
Alumni network is very good with alumni like chetan bhagat, sachin, binny bansal etc.",Shivam
"It will be my first time sitting in the internship season at my college. A lot of reputed companies including but not limited to Texas Instruments, Samsung, Microsoft, Nvidia, UBER come for interns and placements every year. Placement rate is close to 100% in all batches",Rahul Bhola
"Sports - football ground, cricket ground, hockey ground, gym, swimming pool, volleyball court, basketball court, weightlifting, tennis court all available. Wifi - upto 10 mbps in hostels. Also has LAN.
Library size - capacity of around 1000 at a time. May be more. Labs - the best in India",Uddipan Debnath
"Okay, honestly Our Department isn't interested in placements rather is it is in doing research. But as I was head volunteer of 2018 placement session I observed that almost all Engineering students got the job. The placement percentage is around 85-90%. About the internship if you have applied in abroad in any company through Training and placement office you will get it with the essential qualification and skills. Also intitute always share some emails regarding internship opportunities which mostly are based on research.",Banwari Lal Meena
"Placement of iit Delhi is really nice also there are 70 percentage of the students got placement and institute have a placement cell for placement management, many companies visit iit Delhi like Google, Microsoft, Oracle, drdo, isro, ntpc, Goldman Sachs, airtel, flipkart, Amazon and etc.",Sandeep ranwa
"Around 90% of students receive good placement in final year. Among these 90%, 10% students are those who had already received pre placement offer(ppo). Almost every company vistis during placement, Some of these include google, Microsoft, Goldman's sacs, intel,etc. Placment procedure includes exams and personal interviews. For placements of students, their is seperate cell established in IIT delhi name Office of career services which organises the placement procedure. Most of the students do internships in reputed companies during summer break of third year.",Deepak
"100% placement in my college with high packages given by the top companies of india as well as world such as intel, Facebook, google, Qualcomm, samsung etc. Internship is also very good as Microsoft, jo Morgan, Qualcomm etc comes to our college to give internship.",Manas Kankane
"I don't know the accurate stats, but more than 90% of the students from course got placed. The highest salary package is offered in crores per annum, and the average salary package offered ranges between 30-40 LPA, and the lowest salary package offered ranges between 20-25 LPA. Top recruiting companies like Google, Microsoft, etc. visit our college for placements. Internship rate is also quite good, at least 75-80% of the students from our course get an internship.",Akshay nasa
"Placement stats are on of the best in India.
Various companies come for the recruitment some of them are P&G, ITC, HUL, Dr. Reddy in our department.
First of all we have to create a CV and upload it on the training and placement portal. After applying for a company they shortlist students on the basis of CV after that there are some tests which are for further shortlisting students and after that there are interviews conducted in starting of December where the students are finally placed. 70-80% students get a On campus placement.
Yes, there are some workshops before the interviews so that the student get a better grasp on the interview and get a job.
Same method is also followed for the internships.",Yash Jain
"great TnP iit delhi gets companies form every corner of world. students thrive and strive for getting best placement. Profiles are very diverse but limited to tech and mainstream and less of artistic.Company visited- google, microsoft, nokia, samsung , myntra, oyo, Gartner about 300-400about 1000 students placed previous year",Student (Anonymous)
"Microsoft, Google. Samsung are some of the well known that visited campus. Steps are simple if eligible like CGPA and course req. You go for a test scheduled if you clear companies ask you to come for an interview. In my branch 85 percent students gets jobs. Yes institute has a training and placement cell that handles all events related to placement and internships. Information about internships is regularly shared via emails and posters",Kuldeep Meena
"The main period of the arrangement season at IIT Delhi started on December 1, 2019 and endured till December 13, 2019. The establishment got more than 960 offers, including 187 PPOs. 400 or more associations visited the grounds that extended more than 600 employment opportunity profiles. This year, the establishment saw a climb of around 10 percent in the all out number of employment bids got and 8 percent in the pre-arrangement offers when contrasted with a year ago. Microsoft gave the most extreme number of arrangement offers to 30 undergraduate, including two worldwide offers, trailed by Intel which made 27 local ideas to IIT Delhi undergraduate. As per an announcement from the Organization, IIT Delhi recorded the most elevated numbers as far as determination of understudies and crossed all benchmarks of the earlier years. The second period of the situation season will start in the second seven day stretch of January 2020 and will range till May 2020.",Ujjwal
"I AM in btech 3rd year, i got an internship in a big company. There is a training and placement cell in the college which gives about 80% placement.
Maximum salary 35lpa , minimum 7lpa, average =10lpa
schlumberger, L&T, ONGC, ISRO are the main recruiter for Financial, field engineers , business analyst core civil engineer, consultant, risk analysts posts. Atkins , L&T, DMRC, Ab in Bev, Citi bank, PNG, AWS are giving very good internship with a good money.",ABHISHEK AGRAWAL
"More than 50% students get placement in college and the average salary is 6 lacs per annum . The company like samsung , Nokia , Mahindra , Tata , Boeing , etc come to college. The placement is done in November of each year. They offer different amount to different students from different branches. The maximum amount is offered to the CS students and it sometimes go above 60 lacs per annum. And then different branches like electrical , Mathematics and computation also get high package there.|Yes my college does provides internship. I dont have idea about stipend provided by the company. There come many reputed company like Samsung , Nokia , Mahindra ,Tata etc. They take students for the internship in summer.",PRITAM KUMAR
"Around 70% of the students got placed in core and even non-core companies. The average salary offered was around 15 lakh for electrical (in core) and around 21 lakh for computer science. The highest package was 90 lakhs per annum and the lowest is close to 8 lakh. Companies like HSBC, ITC, Accenture, Cadbury, ONGC , Infosys, Cisco Systems, Barclays, Bharat Electronics, etc. Usually, on an average, every student will spend any one year summer on internship|Yes our college provides internship for various branch of engineering to students. DUMMY models are prepared of motors e.t.c for providing practical knowledge. LATER students have to work on real models and during this internship they get 2000-5000 stipend monthly.",Alok Kumar
"Placements are world class. You get the world's best companies competing to take our students. 
I know of my senior who got into Google's Hardware Lab with an annual income of 90,000 USD!!!! 
The rest is already great. The newspapers are always filled with details and records being broken each year.
I am a first year student, so I don't know much in detail about the packages but yeah, I definitely know about these mind blowing facts.
Typically, the packages are on the range of 45L - 75L . With some going post Cr range. There are very few sub 30L figures. None in some way.|Yes. Internships are great. Goldman Sachs for CS, Toyota for mechanical, Mercedes Benz etc for Electrical - even Intel corp. The stipend is basically the entire salary that an employee will earn, which is about 1L a month for full time. That is cool. Very cool. You can easily get your bills covered.",Pranshu Malik
